,txt_file,result
307,SERASA-R1340178.txt,1
308,SERASA-R1955571.txt,1
309,SERASA-R1455542.txt,0
310,SERASA-R2053855.txt,0
311,SERASA-R1093996.txt,1
312,SERASA-R2067692.txt,0
313,SERASA-R1216875.txt,0
314,SERASA-R893929.txt,0
315,SERASA-R2297862.txt,1
316,SERASA-R860862.txt,1
317,SERASA-R1851484.txt,1
318,SERASA-R12264601.txt,0
319,SERASA-R1487612.txt,1
320,SERASA-R12279041.txt,1
321,SERASA-R19943512.txt,0
322,SERASA-R1625807.txt,0
323,SERASA-R1058662.txt,1
324,SERASA-R1478832.txt,0
325,SERASA-R12286511.txt,1
326,SERASA-R12187652.txt,0
327,SERASA-R12284121.txt,0
328,SERASA-R1284763.txt,1
329,SERASA-R2010762.txt,0
330,SERASA-R1766324.txt,1
331,SERASA-R2099002.txt,0
332,SERASA-R7115110.txt,0
333,SERASA-R2211852.txt,0
334,SERASA-R8742023.txt,0
335,SERASA-R12285751.txt,1
336,SERASA-R2010974.txt,0
337,SERASA-R12212381.txt,1
338,SERASA-R873591.txt,1
339,SERASA-R12423701.txt,1
340,SERASA-R12312434.txt,0
341,SERASA-R2047412.txt,0
342,SERASA-R12259081.txt,1
343,SERASA-R12265721.txt,1
344,SERASA-R1466843.txt,1
345,SERASA-R12286041.txt,1
346,SERASA-R2282311.txt,0
347,SERASA-R1228752.txt,0
348,SERASA-R2297972.txt,1
349,SERASA-R12347671.txt,1
350,SERASA-R1106373.txt,1
351,SERASA-R2136174.txt,0
352,SERASA-R2229972.txt,0
353,SERASA-R1913495.txt,0
354,SERASA-R1308332.txt,0
355,SERASA-R12337401.txt,1
356,SERASA-R12305181.txt,1
357,SERASA-R12257771.txt,1
358,SERASA-R12281941.txt,1
359,SERASA-R1771132.txt,1
360,SERASA-R1749706.txt,1
361,SERASA-R1919883.txt,1
362,SERASA-R12367851.txt,1
363,SERASA-R1793534.txt,1
364,SERASA-R1793604.txt,0
365,SERASA-R12214412.txt,0
366,SERASA-R1667603.txt,1
367,SERASA-R12257682.txt,1
368,SERASA-R12253363.txt,1
369,SERASA-R1647672.txt,0
370,SERASA-R12347653.txt,1
371,SERASA-R843992.txt,1
372,SERASA-R12263311.txt,1
373,SERASA-R1682092.txt,0
374,SERASA-R12237422.txt,0
375,SERASA-R1010827.txt,0
376,SERASA-R12297241.txt,1
377,SERASA-R6966762.txt,0
378,SERASA-R1573564.txt,0
379,SERASA-R1737103.txt,0
380,SERASA-R12272541.txt,1
381,SERASA-R1799084.txt,1
382,SERASA-R12255854.txt,1
383,SERASA-R1208224.txt,1
384,SERASA-R2021672.txt,0
385,SERASA-R1170418.txt,1
386,SERASA-R1740233.txt,0
387,SERASA-R1998252.txt,0
388,SERASA-R12328051.txt,1
389,SERASA-R1681713.txt,1
390,SERASA-R2167791.txt,0
391,SERASA-R1418601.txt,1
392,SERASA-R2115051.txt,0
393,SERASA-R1942241.txt,0
394,SERASA-R12367611.txt,1
395,SERASA-R14661717.txt,1
396,SERASA-R1467234.txt,0
397,SERASA-R12277321.txt,1
398,SERASA-R2304271.txt,1
399,SERASA-R12371122.txt,1
400,SERASA-R12233681.txt,0
401,SERASA-R1638777.txt,1
402,SERASA-R1731082.txt,0
403,SERASA-R12284101.txt,0
404,SERASA-R12226722.txt,1
405,SERASA-R11743812.txt,1
406,SERASA-R1676478.txt,1
407,SERASA-R2282222.txt,0
